Province,City,Branch,Manager,Latitude,Longitude,Address,MapUrl
KwaZulu-Natal,Richmond,Richmond,Unknown,0.0,0.0,Richmond Centre,https://goo.gl/maps/oWeUs2N66Pz
Limpopo,Lephalale,Lephalalae,Unknown,0.0,0.0,Shop 18A Shopping Centre Lephalale Crossing Lephalale,https://goo.gl/maps/FQvMErvaG5m
