"province";"city";"branch";"type";"manager";"latitude";"longitute";"address";"mapurl"
"North West";"Potchefstroom-Potchefstroom";"Potchefstroom";"Boxer";"Unknown";"-26,71393";"27,0974913";"12 New Market Street Potchefstroom";"https://goo.gl/2QVwX7"
"North West";"Rustenburg-Rustenburg CBD";"Rustenburg CBD";"Normal";"Unknown";"-25,6686562";"27,2357447";"Fatima Bhayat St, CBD, Rustenburg, 0299, NW";"https://goo.gl/maps/HYtF4Cuj6FP2"
"North West";"Taung-Taung";"Taung";"Normal";"Unknown";"-27,561178";"24,747726";"Taung Forum Centre, Station Road, Taung, 8584, NW";"https://goo.gl/maps/GQ3SSVvMbmA2"
"North West";"Vryburg-Vryburg";"Vryburg";"Normal";"Unknown";"-26,958667";"24,73028";"121 Market Sreet, Vryburg, 8600, NW";"https://goo.gl/maps/51xQqJWbwRn"
"North West";"Zeerust-Zeerust";"Zeerust";"Boxer";"Unknown";"-25,54564";"26,0737513";"12 Church Street, Zeerust, North West";"https://goo.gl/hw3PnQ"
"Northen Cape";"Kimberley-Kimberley";"Kimberley";"Normal";"Unknown";"-28,74323";"24,7587513";"6 Long Street, Kimberley, 8300, NC";"https://goo.gl/FCfNm5"
"Northen Cape";"Upington-Upington";"Upington";"Normal";"Unknown";"-28,4548888";"21,2464815";"Shop 1 Upington Properties, 11 Lutz street, Upington, 8801, NC";"https://goo.gl/umpCFq"
"Western Cape";"Cape Town-Bellstar Junction";"Bellstar Junction";"Normal";"Unknown";"-33,9057939";"18,6287661";"Shop 33C, Bellstar Junction, Bellville station, South Street, Cape Town, 7530, WC";"https://goo.gl/maps/tGTS7CgUjqB2"
"Western Cape";"Cape Town-Gugulethu Square";"Gugulethu Square";"Normal";"Unknown";"-33,9862473";"18,5663938";"Gugulethu Square, Cnr NY1 & NY6, Guguletu, Cape Town, WC";"https://goo.gl/maps/VhKPA4W8sX82"
"Western Cape";"Cape Town-Langa Junction";"Cape Town";"Normal";"Unknown";"-33,940446";"18,530212";"Langa Junction, Erf 4330, Brinton Street, Langa, Cape Town, 7100, WC";"https://goo.gl/maps/noiVj5F2xNt"
"Western Cape";"Cape Town-Makhaza Mall";"Makhaza Mall";"Normal";"Unknown";"-34,046634";"18,702814";"Shop 4, Makhaza Shopping Centre, Lansdown Rd, Khayalitsha, Cape Town, 7784, WC";"https://goo.gl/maps/RTozeZtQqku"
"Western Cape";"Cape Town-Mitchells Plain";"Mitchells Plain";"Boxer";"Unknown";"-34,0492894";"18,6197276";"14 Symphony Walk Town Centre Mitchells Plain";"https://goo.gl/aAdXeA"
"Western Cape";"Cape Town-Philippi";"Philippi";"Normal";"Unknown";"-34,00059";"18,594346";"Shop xx, Shoprite Centre, Govan Mbeki Rd, Philippi, Cape Town, 7750, WC";"https://goo.gl/maps/xtcnGoKLMgs"
"Western Cape";"Cape Town-St Georges Mall";"St Georges Mall";"Normal";"Unknown";"-33,920448";"18,423689";"African Bank Space, 8 St George's Mall, cnr of Van Riebeeck & St Georges Street, Cape Town, 8000, WC";"https://goo.gl/maps/o3pvdrroJrm"
"Western Cape";"Cape Town-Worcester";"Worcester";"Boxer";"Unknown";"-33,6469872";"19,4368011";"CNR High & Napier Street Worcester Cape Town";"https://goo.gl/xteWdp"
"Western Cape";"Kenilworth-Access Park";"Access Park";"Normal";"Unknown";"-33,9878269";"18,4855653";"Unit D1 Access Park, 81 Chichester Rd, Kenilworth, Cape Town, 7708, WC";"https://goo.gl/hV4kPW"
